"Run","Tag","Cag","Ani","Trt"
"1",114,"1","A","d"
"1",115,"1","C","f"
"1",116,"1","D","g"
"1",117,"1","B","e"
"2",114,"1","C","f"
"2",115,"1","A","d"
"2",116,"1","B","e"
"2",117,"1","D","g"
"3",114,"2","D","g"
"3",115,"2","A","b"
"3",116,"2","B","c"
"3",117,"2","C","f"
"4",114,"2","A","b"
"4",115,"2","D","g"
"4",116,"2","C","f"
"4",117,"2","B","c"
"5",114,"3","C","d"
"5",115,"3","D","e"
"5",116,"3","A","b"
"5",117,"3","B","c"
"6",114,"3","D","e"
"6",115,"3","C","d"
"6",116,"3","B","c"
"6",117,"3","A","b"
"7",114,"4","D","g"
"7",115,"4","B","c"
"7",116,"4","C","e"
"7",117,"4","A","a"
"8",114,"4","B","c"
"8",115,"4","D","g"
"8",116,"4","A","a"
"8",117,"4","C","e"
"9",114,"5","D","f"
"9",115,"5","B","c"
"9",116,"5","C","d"
"9",117,"5","A","a"
"10",114,"5","B","c"
"10",115,"5","D","f"
"10",116,"5","A","a"
"10",117,"5","C","d"
"11",114,"6","A","a"
"11",115,"6","C","e"
"11",116,"6","B","b"
"11",117,"6","D","f"
"12",114,"6","C","e"
"12",115,"6","A","a"
"12",116,"6","D","f"
"12",117,"6","B","b"
"13",114,"7","B","b"
"13",115,"7","A","a"
"13",116,"7","D","g"
"13",117,"7","C","d"
"14",114,"7","A","a"
"14",115,"7","B","b"
"14",116,"7","C","d"
"14",117,"7","D","g"
