"","V1","V2","V3","V4"
"","114","115","116","117"
"1","2Df","2Eg","1Bc","1Cd"
"2","2Eg","2Df","1Cd","1Bc"
"3","1Ef","1Ab","1Fg","2Ce"
"4","1Ab","1Ef","2Ce","1Fg"
"5","2Ac","1De","2Bd","2Fa"
"6","1De","2Ac","2Fa","2Bd"
"7","4Da","3Fb","3Dg","4Ae"
"8","3Fb","4Da","4Ae","3Dg"
"9","3Be","3Ad","3Cf","4Eb"
"10","3Ad","3Be","4Eb","3Cf"
"11","3Ea","4Cg","4Bf","4Fc"
"12","4Cg","3Ea","4Fc","4Bf"
"13","5Fd","6Cb","6Dc","5Bg"
"14","6Cb","5Fd","5Bg","6Dc"
"15","6Ag","6Fe","6Ed","5Ca"
"16","6Fe","6Ag","5Ca","6Ed"
"17","6Ba","5Ec","5Af","5Db"
"18","5Ec","6Ba","5Db","5Af"
"19","7Dd","7Ff","7Bb","7Aa"
"20","7Ff","7Dd","7Aa","7Bb"
"21","7Cc","7Cc","7Ee","7Ee"
