"Run","Tag","Ani","Trt"
"1",113,"AA","a"
"1",114,"AB","b"
"1",115,"AC","c"
"1",116,"AD","d"
"1",117,"AE","e"
"1",118,"AF","f"
"1",119,"AG","g"
"1",121,"AH","h"
"2",113,"AB","b"
"2",114,"AA","a"
"2",115,"AD","d"
"2",116,"AC","c"
"2",117,"AF","f"
"2",118,"AE","e"
"2",119,"AH","h"
"2",121,"AG","g"
"3",113,"AI","a"
"3",114,"AJ","b"
"3",115,"AK","c"
"3",116,"AL","d"
"3",117,"AM","e"
"3",118,"AN","f"
"3",119,"AO","g"
"3",121,"AP","h"
"4",113,"AJ","b"
"4",114,"AI","a"
"4",115,"AL","d"
"4",116,"AK","c"
"4",117,"AN","f"
"4",118,"AM","e"
"4",119,"AP","h"
"4",121,"AO","g"
"5",113,"AS","c"
"5",114,"AT","d"
"5",115,"AQ","a"
"5",116,"AR","b"
"5",117,"AW","g"
"5",118,"AX","h"
"5",119,"AU","e"
"5",121,"AV","f"
"6",113,"AT","d"
"6",114,"AS","c"
"6",115,"AR","b"
"6",116,"AQ","a"
"6",117,"AX","h"
"6",118,"AW","g"
"6",119,"AV","f"
"6",121,"AU","e"
"7",113,"BA","c"
"7",114,"BB","d"
"7",115,"AY","a"
"7",116,"AZ","b"
"7",117,"BE","g"
"7",118,"BF","h"
"7",119,"BC","e"
"7",121,"BD","f"
"8",113,"BB","d"
"8",114,"BA","c"
"8",115,"AZ","b"
"8",116,"AY","a"
"8",117,"BF","h"
"8",118,"BE","g"
"8",119,"BD","f"
"8",121,"BC","e"
"9",113,"BK","e"
"9",114,"BL","f"
"9",115,"BM","g"
"9",116,"BN","h"
"9",117,"BG","a"
"9",118,"BH","b"
"9",119,"BI","c"
"9",121,"BJ","d"
"10",113,"BL","f"
"10",114,"BK","e"
"10",115,"BN","h"
"10",116,"BM","g"
"10",117,"BH","b"
"10",118,"BG","a"
"10",119,"BJ","d"
"10",121,"BI","c"
"11",113,"BS","e"
"11",114,"BT","f"
"11",115,"BU","g"
"11",116,"BV","h"
"11",117,"BO","a"
"11",118,"BP","b"
"11",119,"BQ","c"
"11",121,"BR","d"
"12",113,"BT","f"
"12",114,"BS","e"
"12",115,"BV","h"
"12",116,"BU","g"
"12",117,"BP","b"
"12",118,"BO","a"
"12",119,"BR","d"
"12",121,"BQ","c"
"13",113,"CC","g"
"13",114,"CD","h"
"13",115,"CA","e"
"13",116,"CB","f"
"13",117,"BY","c"
"13",118,"BZ","d"
"13",119,"BW","a"
"13",121,"BX","b"
"14",113,"CD","h"
"14",114,"CC","g"
"14",115,"CB","f"
"14",116,"CA","e"
"14",117,"BZ","d"
"14",118,"BY","c"
"14",119,"BX","b"
"14",121,"BW","a"
"15",113,"CK","g"
"15",114,"CL","h"
"15",115,"CI","e"
"15",116,"CJ","f"
"15",117,"CG","c"
"15",118,"CH","d"
"15",119,"CE","a"
"15",121,"CF","b"
"16",113,"CL","h"
"16",114,"CK","g"
"16",115,"CJ","f"
"16",116,"CI","e"
"16",117,"CH","d"
"16",118,"CG","c"
"16",119,"CF","b"
"16",121,"CE","a"
