"Run","Tag","Cag","Ani","Trt"
"1",114,"1","C","c"
"1",115,"2","B","b"
"1",116,"3","B","b"
"1",117,"4","A","a"
"2",114,"2","B","b"
"2",115,"1","C","c"
"2",116,"4","A","a"
"2",117,"3","B","b"
"3",114,"1","A","a"
"3",115,"2","C","c"
"3",116,"3","A","a"
"3",117,"4","B","b"
"4",114,"2","C","c"
"4",115,"1","A","a"
"4",116,"4","B","b"
"4",117,"3","A","a"
"5",114,"1","B","b"
"5",115,"2","A","a"
"5",116,"3","C","c"
"5",117,"4","C","c"
"6",114,"2","A","a"
"6",115,"1","B","b"
"6",116,"4","C","c"
"6",117,"3","C","c"
