"Run","Tag","Cag","Ani","Trt"
"1",114,"1","I","a"
"1",115,"1","P","d"
"1",116,"2","O","c"
"1",117,"2","F","b"
"2",114,"1","P","d"
"2",115,"1","I","a"
"2",116,"2","F","b"
"2",117,"2","O","c"
"3",114,"1","J","b"
"3",115,"1","M","a"
"3",116,"2","L","d"
"3",117,"2","C","c"
"4",114,"1","M","a"
"4",115,"1","J","b"
"4",116,"2","C","c"
"4",117,"2","L","d"
"5",114,"1","F","b"
"5",115,"1","K","c"
"5",116,"2","H","d"
"5",117,"2","E","a"
"6",114,"1","K","c"
"6",115,"1","F","b"
"6",116,"2","E","a"
"6",117,"2","H","d"
"7",114,"1","L","d"
"7",115,"1","E","a"
"7",116,"2","G","c"
"7",117,"2","N","b"
"8",114,"1","E","a"
"8",115,"1","L","d"
"8",116,"2","N","b"
"8",117,"2","G","c"
"9",114,"1","H","d"
"9",115,"1","A","a"
"9",116,"2","B","b"
"9",117,"2","K","c"
"10",114,"1","A","a"
"10",115,"1","H","d"
"10",116,"2","K","c"
"10",117,"2","B","b"
"11",114,"1","N","b"
"11",115,"1","O","c"
"11",116,"2","M","a"
"11",117,"2","P","d"
"12",114,"1","O","c"
"12",115,"1","N","b"
"12",116,"2","P","d"
"12",117,"2","M","a"
"13",114,"1","G","c"
"13",115,"1","D","d"
"13",116,"2","I","a"
"13",117,"2","J","b"
"14",114,"1","D","d"
"14",115,"1","G","c"
"14",116,"2","J","b"
"14",117,"2","I","a"
"15",114,"1","B","b"
"15",115,"1","C","c"
"15",116,"2","A","a"
"15",117,"2","D","d"
"16",114,"1","C","c"
"16",115,"1","B","b"
"16",116,"2","D","d"
"16",117,"2","A","a"
