"Run","Tag","Cag","Ani","Trt"
"1",114,"2","D","f"
"1",115,"2","E","g"
"1",116,"1","B","c"
"1",117,"1","C","d"
"2",114,"2","E","g"
"2",115,"2","D","f"
"2",116,"1","C","d"
"2",117,"1","B","c"
"3",114,"1","E","f"
"3",115,"1","A","b"
"3",116,"1","F","g"
"3",117,"2","C","e"
"4",114,"1","A","b"
"4",115,"1","E","f"
"4",116,"2","C","e"
"4",117,"1","F","g"
"5",114,"2","A","c"
"5",115,"1","D","e"
"5",116,"2","B","d"
"5",117,"2","F","a"
"6",114,"1","D","e"
"6",115,"2","A","c"
"6",116,"2","F","a"
"6",117,"2","B","d"
"7",114,"4","D","a"
"7",115,"3","F","b"
"7",116,"3","D","g"
"7",117,"4","A","e"
"8",114,"3","F","b"
"8",115,"4","D","a"
"8",116,"4","A","e"
"8",117,"3","D","g"
"9",114,"3","B","e"
"9",115,"3","A","d"
"9",116,"3","C","f"
"9",117,"4","E","b"
"10",114,"3","A","d"
"10",115,"3","B","e"
"10",116,"4","E","b"
"10",117,"3","C","f"
"11",114,"3","E","a"
"11",115,"4","C","g"
"11",116,"4","B","f"
"11",117,"4","F","c"
"12",114,"4","C","g"
"12",115,"3","E","a"
"12",116,"4","F","c"
"12",117,"4","B","f"
"13",114,"5","F","d"
"13",115,"6","C","b"
"13",116,"6","D","c"
"13",117,"5","B","g"
"14",114,"6","C","b"
"14",115,"5","F","d"
"14",116,"5","B","g"
"14",117,"6","D","c"
"15",114,"6","A","g"
"15",115,"6","F","e"
"15",116,"6","E","d"
"15",117,"5","C","a"
"16",114,"6","F","e"
"16",115,"6","A","g"
"16",116,"5","C","a"
"16",117,"6","E","d"
"17",114,"6","B","a"
"17",115,"5","E","c"
"17",116,"5","A","f"
"17",117,"5","D","b"
"18",114,"5","E","c"
"18",115,"6","B","a"
"18",116,"5","D","b"
"18",117,"5","A","f"
"19",114,"7","D","d"
"19",115,"7","F","f"
"19",116,"7","B","b"
"19",117,"7","A","a"
"20",114,"7","F","f"
"20",115,"7","D","d"
"20",116,"7","A","a"
"20",117,"7","B","b"
"21",114,"7","C","c"
"21",115,"7","C","c"
"21",116,"7","E","e"
"21",117,"7","E","e"
