"Run","Tag","Ani","Trt"
"1",113,"AP","d"
"1",114,"AM","a"
"1",115,"BC","e"
"1",116,"AH","b"
"1",117,"BO","e"
"1",118,"AI","c"
"1",119,"BN","d"
"1",121,"AL","f"
"2",113,"AM","a"
"2",114,"AP","d"
"2",115,"AH","b"
"2",116,"BC","e"
"2",117,"AI","c"
"2",118,"BO","e"
"2",119,"AL","f"
"2",121,"BN","d"
"3",113,"BV","f"
"3",114,"BF","b"
"3",115,"BG","c"
"3",116,"AV","d"
"3",117,"AF","f"
"3",118,"BA","c"
"3",119,"AA","a"
"3",121,"AQ","e"
"4",113,"BF","b"
"4",114,"BV","f"
"4",115,"AV","d"
"4",116,"BG","c"
"4",117,"BA","c"
"4",118,"AF","f"
"4",119,"AQ","e"
"4",121,"AA","a"
"5",113,"BP","f"
"5",114,"AJ","d"
"5",115,"AR","f"
"5",116,"AZ","b"
"5",117,"AN","b"
"5",118,"AE","e"
"5",119,"AU","c"
"5",121,"AS","a"
"6",113,"AJ","d"
"6",114,"BP","f"
"6",115,"AZ","b"
"6",116,"AR","f"
"6",117,"AE","e"
"6",118,"AN","b"
"6",119,"AS","a"
"6",121,"AU","c"
"7",113,"BS","c"
"7",114,"BI","e"
"7",115,"AC","c"
"7",116,"AG","a"
"7",117,"AX","f"
"7",118,"BK","a"
"7",119,"BL","b"
"7",121,"BB","d"
"8",113,"BI","e"
"8",114,"BS","c"
"8",115,"AG","a"
"8",116,"AC","c"
"8",117,"BK","a"
"8",118,"AX","f"
"8",119,"BB","d"
"8",121,"BL","b"
"9",113,"BR","b"
"9",114,"BE","a"
"9",115,"BU","e"
"9",116,"AD","d"
"9",117,"BH","d"
"9",118,"AB","b"
"9",119,"AO","c"
"9",121,"BJ","f"
"10",113,"BE","a"
"10",114,"BR","b"
"10",115,"AD","d"
"10",116,"BU","e"
"10",117,"AB","b"
"10",118,"BH","d"
"10",119,"BJ","f"
"10",121,"AO","c"
"11",113,"AK","e"
"11",114,"BM","c"
"11",115,"BD","f"
"11",116,"BQ","a"
"11",117,"AY","a"
"11",118,"BT","d"
"11",119,"AW","e"
"11",121,"AT","b"
"12",113,"BM","c"
"12",114,"AK","e"
"12",115,"BQ","a"
"12",116,"BD","f"
"12",117,"BT","d"
"12",118,"AY","a"
"12",119,"AT","b"
"12",121,"AW","e"
