Run,Tag,Cag,Ani,Trt
1,1,1,A,a
1,2,1,D,d
1,3,1,B,b
1,4,1,C,c
2,1,1,D,d
2,2,1,A,a
2,3,1,C,c
2,4,1,B,b
3,1,2,C,c
3,2,2,B,b
3,3,2,A,a
3,4,2,D,d
4,1,2,B,b
4,2,2,C,c
4,3,2,D,d
4,4,2,A,a
5,1,3,C,c
5,2,3,B,b
5,3,3,A,a
5,4,3,D,d
6,1,3,B,b
6,2,3,C,c
6,3,3,D,d
6,4,3,A,a
7,1,4,C,c
7,2,4,B,b
7,3,4,A,a
7,4,4,D,d
8,1,4,B,b
8,2,4,C,c
8,3,4,D,d
8,4,4,A,a
9,1,5,C,c
9,2,5,A,a
9,3,5,D,d
9,4,5,B,b
10,1,5,A,a
10,2,5,C,c
10,3,5,B,b
10,4,5,D,d
11,1,6,B,b
11,2,6,D,d
11,3,6,C,c
11,4,6,A,a
12,1,6,D,d
12,2,6,B,b
12,3,6,A,a
12,4,6,C,c
13,1,7,A,a
13,2,7,D,d
13,3,7,B,b
13,4,7,C,c
14,1,7,D,d
14,2,7,A,a
14,3,7,C,c
14,4,7,B,b
