"Run","Tag","Cag","Ani","Trt"
"1",114,"1","P","d"
"1",115,"1","E","e"
"1",116,"2","M","a"
"1",117,"2","O","c"
"2",114,"1","E","e"
"2",115,"1","P","d"
"2",116,"2","O","c"
"2",117,"2","M","a"
"3",114,"1","Q","e"
"3",115,"1","O","c"
"3",116,"2","R","f"
"3",117,"2","H","b"
"4",114,"1","O","c"
"4",115,"1","Q","e"
"4",116,"2","H","b"
"4",117,"2","R","f"
"5",114,"1","I","c"
"5",115,"1","K","e"
"5",116,"2","B","b"
"5",117,"2","J","d"
"6",114,"1","K","e"
"6",115,"1","I","c"
"6",116,"2","J","d"
"6",117,"2","B","b"
"7",114,"1","N","b"
"7",115,"1","A","a"
"7",116,"2","D","d"
"7",117,"2","L","f"
"8",114,"1","A","a"
"8",115,"1","N","b"
"8",116,"2","L","f"
"8",117,"2","D","d"
"9",114,"1","G","a"
"9",115,"1","L","f"
"9",116,"2","N","b"
"9",117,"2","I","c"
"10",114,"1","L","f"
"10",115,"1","G","a"
"10",116,"2","I","c"
"10",117,"2","N","b"
"11",114,"1","B","b"
"11",115,"1","J","d"
"11",116,"2","C","c"
"11",117,"2","G","a"
"12",114,"1","J","d"
"12",115,"1","B","b"
"12",116,"2","G","a"
"12",117,"2","C","c"
"13",114,"1","H","b"
"13",115,"1","D","d"
"13",116,"2","F","f"
"13",117,"2","Q","e"
"14",114,"1","D","d"
"14",115,"1","H","b"
"14",116,"2","Q","e"
"14",117,"2","F","f"
"15",114,"1","R","f"
"15",115,"1","C","c"
"15",116,"2","A","a"
"15",117,"2","E","e"
"16",114,"1","C","c"
"16",115,"1","R","f"
"16",116,"2","E","e"
"16",117,"2","A","a"
"17",114,"1","M","a"
"17",115,"1","F","f"
"17",116,"2","P","d"
"17",117,"2","K","e"
"18",114,"1","F","f"
"18",115,"1","M","a"
"18",116,"2","K","e"
"18",117,"2","P","d"
