"","Run","Tag","Cag","Ani","Trt"
"V1","1","1","1","B","b"
"V2","1","2","1","G","g"
"V3","1","3","1","E","e"
"V4","1","4","1","F","f"
"V5","1","5","1","A","a"
"V6","1","6","1","C","c"
"V7","1","7","1","H","h"
"V8","1","8","1","D","d"
"V9","2","1","1","G","g"
"V10","2","2","1","B","b"
"V11","2","3","1","F","f"
"V12","2","4","1","E","e"
"V13","2","5","1","C","c"
"V14","2","6","1","A","a"
"V15","2","7","1","D","d"
"V16","2","8","1","H","h"
"V17","3","1","2","C","c"
"V18","3","2","2","A","a"
"V19","3","3","2","G","g"
"V20","3","4","2","D","d"
"V21","3","5","2","B","b"
"V22","3","6","2","H","h"
"V23","3","7","2","E","e"
"V24","3","8","2","F","f"
"V25","4","1","2","A","a"
"V26","4","2","2","C","c"
"V27","4","3","2","D","d"
"V28","4","4","2","G","g"
"V29","4","5","2","H","h"
"V30","4","6","2","B","b"
"V31","4","7","2","F","f"
"V32","4","8","2","E","e"
"V33","5","1","3","F","f"
"V34","5","2","3","D","d"
"V35","5","3","3","B","b"
"V36","5","4","3","H","h"
"V37","5","5","3","E","e"
"V38","5","6","3","G","g"
"V39","5","7","3","A","a"
"V40","5","8","3","C","c"
"V41","6","1","3","D","d"
"V42","6","2","3","F","f"
"V43","6","3","3","H","h"
"V44","6","4","3","B","b"
"V45","6","5","3","G","g"
"V46","6","6","3","E","e"
"V47","6","7","3","C","c"
"V48","6","8","3","A","a"
"V49","7","1","4","E","e"
"V50","7","2","4","H","h"
"V51","7","3","4","A","a"
"V52","7","4","4","C","c"
"V53","7","5","4","F","f"
"V54","7","6","4","D","d"
"V55","7","7","4","G","g"
"V56","7","8","4","B","b"
"V57","8","1","4","H","h"
"V58","8","2","4","E","e"
"V59","8","3","4","C","c"
"V60","8","4","4","A","a"
"V61","8","5","4","D","d"
"V62","8","6","4","F","f"
"V63","8","7","4","B","b"
"V64","8","8","4","G","g"
