"","Run","Tag","Cag","Ani","Trt"
"V1","1","1","1","H","h"
"V2","1","2","1","B","b"
"V3","1","3","2","D","d"
"V4","1","4","2","G","g"
"V5","1","5","3","F","f"
"V6","1","6","3","E","e"
"V7","1","7","4","A","a"
"V8","1","8","4","C","c"
"V9","2","1","1","B","b"
"V10","2","2","1","H","h"
"V11","2","3","2","G","g"
"V12","2","4","2","D","d"
"V13","2","5","3","E","e"
"V14","2","6","3","F","f"
"V15","2","7","4","C","c"
"V16","2","8","4","A","a"
"V17","3","1","1","E","e"
"V18","3","2","1","F","f"
"V19","3","3","2","H","h"
"V20","3","4","2","C","c"
"V21","3","5","3","A","a"
"V22","3","6","3","G","g"
"V23","3","7","4","B","b"
"V24","3","8","4","D","d"
"V25","4","1","1","F","f"
"V26","4","2","1","E","e"
"V27","4","3","2","C","c"
"V28","4","4","2","H","h"
"V29","4","5","3","G","g"
"V30","4","6","3","A","a"
"V31","4","7","4","D","d"
"V32","4","8","4","B","b"
"V33","5","1","1","C","c"
"V34","5","2","1","A","a"
"V35","5","3","2","E","e"
"V36","5","4","2","F","f"
"V37","5","5","3","B","b"
"V38","5","6","3","D","d"
"V39","5","7","4","G","g"
"V40","5","8","4","H","h"
"V41","6","1","1","A","a"
"V42","6","2","1","C","c"
"V43","6","3","2","F","f"
"V44","6","4","2","E","e"
"V45","6","5","3","D","d"
"V46","6","6","3","B","b"
"V47","6","7","4","H","h"
"V48","6","8","4","G","g"
"V49","7","1","1","D","d"
"V50","7","2","1","G","g"
"V51","7","3","2","A","a"
"V52","7","4","2","B","b"
"V53","7","5","3","C","c"
"V54","7","6","3","H","h"
"V55","7","7","4","E","e"
"V56","7","8","4","F","f"
"V57","8","1","1","G","g"
"V58","8","2","1","D","d"
"V59","8","3","2","B","b"
"V60","8","4","2","A","a"
"V61","8","5","3","H","h"
"V62","8","6","3","C","c"
"V63","8","7","4","F","f"
"V64","8","8","4","E","e"
