Run,Tag,Cag,Ani,Trt
1,1,1,D,d
1,2,1,R,b
1,3,2,P,h
1,4,2,W,g
2,1,1,R,b
2,2,1,D,d
2,3,2,W,g
2,4,2,P,h
3,1,1,N,f
3,2,1,L,d
3,3,2,U,e
3,4,2,H,h
4,1,1,L,d
4,2,1,N,f
4,3,2,H,h
4,4,2,U,e
5,1,1,T,d
5,2,1,G,g
5,3,2,C,c
5,4,2,M,e
6,1,1,G,g
6,2,1,T,d
6,3,2,M,e
6,4,2,C,c
7,1,1,S,c
7,2,1,I,a
7,3,2,V,f
7,4,2,E,e
8,1,1,I,a
8,2,1,S,c
8,3,2,E,e
8,4,2,V,f
9,1,1,H,h
9,2,1,A,a
9,3,2,D,d
9,4,2,F,f
10,1,1,A,a
10,2,1,H,h
10,3,2,F,f
10,4,2,D,d
11,1,1,K,c
11,2,1,W,g
11,3,2,L,d
11,4,2,I,a
12,1,1,W,g
12,2,1,K,c
12,3,2,I,a
12,4,2,L,d
13,1,1,X,h
13,2,1,U,e
13,3,2,A,a
13,4,2,G,g
14,1,1,U,e
14,2,1,X,h
14,3,2,G,g
14,4,2,A,a
15,1,1,V,f
15,2,1,O,g
15,3,2,Q,a
15,4,2,J,b
16,1,1,O,g
16,2,1,V,f
16,3,2,J,b
16,4,2,Q,a
17,1,1,B,b
17,2,1,Q,a
17,3,2,K,c
17,4,2,X,h
18,1,1,Q,a
18,2,1,B,b
18,3,2,X,h
18,4,2,K,c
19,1,1,C,c
19,2,1,J,b
19,3,2,T,d
19,4,2,N,f
20,1,1,J,b
20,2,1,C,c
20,3,2,N,f
20,4,2,T,d
21,1,1,E,e
21,2,1,P,h
21,3,2,B,b
21,4,2,S,c
22,1,1,P,h
22,2,1,E,e
22,3,2,S,c
22,4,2,B,b
23,1,1,M,e
23,2,1,F,f
23,3,2,R,b
23,4,2,O,g
24,1,1,F,f
24,2,1,M,e
24,3,2,O,g
24,4,2,R,b
