"Run","Tag","Cag","Ani","Trt"
"1",114,"1","K","c"
"1",115,"1","B","b"
"1",116,"1","A","a"
"1",117,"1","P","h"
"2",114,"1","B","b"
"2",115,"1","K","c"
"2",116,"1","P","h"
"2",117,"1","A","a"
"3",114,"1","J","b"
"3",115,"1","G","g"
"3",116,"1","M","e"
"3",117,"1","D","d"
"4",114,"1","G","g"
"4",115,"1","J","b"
"4",116,"1","D","d"
"4",117,"1","M","e"
"5",114,"1","E","e"
"5",115,"1","H","h"
"5",116,"1","N","f"
"5",117,"1","I","a"
"6",114,"1","H","h"
"6",115,"1","E","e"
"6",116,"1","I","a"
"6",117,"1","N","f"
"7",114,"1","F","f"
"7",115,"1","L","d"
"7",116,"1","O","g"
"7",117,"1","C","c"
"8",114,"1","L","d"
"8",115,"1","F","f"
"8",116,"1","C","c"
"8",117,"1","O","g"
"9",114,"2","L","d"
"9",115,"2","E","e"
"9",116,"2","N","f"
"9",117,"2","H","h"
"10",114,"2","E","e"
"10",115,"2","L","d"
"10",116,"2","H","h"
"10",117,"2","N","f"
"11",114,"2","D","d"
"11",115,"2","K","c"
"11",116,"2","J","b"
"11",117,"2","O","g"
"12",114,"2","K","c"
"12",115,"2","D","d"
"12",116,"2","O","g"
"12",117,"2","J","b"
"13",114,"2","B","b"
"13",115,"2","P","h"
"13",116,"2","A","a"
"13",117,"2","C","c"
"14",114,"2","P","h"
"14",115,"2","B","b"
"14",116,"2","C","c"
"14",117,"2","A","a"
"15",114,"2","G","g"
"15",115,"2","I","a"
"15",116,"2","F","f"
"15",117,"2","M","e"
"16",114,"2","I","a"
"16",115,"2","G","g"
"16",116,"2","M","e"
"16",117,"2","F","f"
"17",114,"3","G","g"
"17",115,"3","C","c"
"17",116,"3","M","e"
"17",117,"3","P","h"
"18",114,"3","C","c"
"18",115,"3","G","g"
"18",116,"3","P","h"
"18",117,"3","M","e"
"19",114,"3","D","d"
"19",115,"3","I","a"
"19",116,"3","B","b"
"19",117,"3","E","e"
"20",114,"3","I","a"
"20",115,"3","D","d"
"20",116,"3","E","e"
"20",117,"3","B","b"
"21",114,"3","N","f"
"21",115,"3","K","c"
"21",116,"3","A","a"
"21",117,"3","O","g"
"22",114,"3","K","c"
"22",115,"3","N","f"
"22",116,"3","O","g"
"22",117,"3","A","a"
"23",114,"3","J","b"
"23",115,"3","F","f"
"23",116,"3","H","h"
"23",117,"3","L","d"
"24",114,"3","F","f"
"24",115,"3","J","b"
"24",116,"3","L","d"
"24",117,"3","H","h"
"25",114,"4","E","e"
"25",115,"4","A","a"
"25",116,"4","D","d"
"25",117,"4","K","c"
"26",114,"4","A","a"
"26",115,"4","E","e"
"26",116,"4","K","c"
"26",117,"4","D","d"
"27",114,"4","G","g"
"27",115,"4","H","h"
"27",116,"4","J","b"
"27",117,"4","N","f"
"28",114,"4","H","h"
"28",115,"4","G","g"
"28",116,"4","N","f"
"28",117,"4","J","b"
"29",114,"4","M","e"
"29",115,"4","F","f"
"29",116,"4","C","c"
"29",117,"4","B","b"
"30",114,"4","F","f"
"30",115,"4","M","e"
"30",116,"4","B","b"
"30",117,"4","C","c"
"31",114,"4","P","h"
"31",115,"4","I","a"
"31",116,"4","L","d"
"31",117,"4","O","g"
"32",114,"4","I","a"
"32",115,"4","P","h"
"32",116,"4","O","g"
"32",117,"4","L","d"
